"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"FOMITEC - PCSD","FORTALECIMIENTO DE INCUBADORAS DE NEGOCIOS Y ENTIDADES AFINES - INCUBADORAS Y ACELERADORAS DE NEGOCIOS",2017,"660-INNOVATEPERU-IAN-2017","FORTALECIMIENTO DE LAS CAPACIDADES DE JAKU - EMPRENDE UNSA\, INCUBADORA DE EMPRESAS QUE IMPULSA EL DESARROLLO DE NEGOCIOS  INNOVADORES SOCIALMENTE RESPONSABLES Y AMBIENTALMENTE SOSTENIBLES DIRIGIDO A EMPRENDEDORES DE LA MACROREGION SUR DEL PAÍS.",20180906,20230805,"UNIVERSIDAD NACIONAL DE SAN AGUSTIN","AREQUIPA","AREQUIPA","AREQUIPA",040101,700000.0000,90378.5700,73621.4300,"SOLES",20250331
"FOMITEC - PCSD","FORTALECIMIENTO DE INCUBADORAS DE NEGOCIOS Y ENTIDADES AFINES - INCUBADORAS Y ACELERADORAS DE NEGOCIOS",2018,"003-INNOVATEPERU-IAN-2018","FORTALECEMIENTO DEL CENTRO DE EMPRENDIMIENTO E INNOVACIÓN DE LA UNIVERSIDAD NACIONAL DE TRUJILLO - INCUBAUNT",20180906,20220306,"UNIVERSIDAD NACIONAL DE TRUJILLO","TRUJILLO","TRUJILLO","LA LIBERTAD",130101,662655.4100,90117.9900,66960.0000,"SOLES",20250331
"FOMITEC - PCSD","CAPITAL SEMILLA PARA EMPRENDEDORES INNOVADORES - BIO",2018,"275-INNOVATEPERU-EINBIO-2018","COOLTIVO: SISTEMA INTEGRADO PARA CULTIVOS EN ZONAS URBANAS",20180926,20190926,"COOLTIVO PERU S.A.C.","SAN MIGUEL","LA MAR","AYACUCHO",050501,54999.9900,7857.1400,15714.3000,"SOLES",20250331
"FOMITEC - PCSD","CAPITAL SEMILLA PARA EMPRENDEDORES INNOVADORES - BIO",2018,"297-INNOVATEPERU-EINBIO-2018","WISKUR FLY: TECNOLOGÍA DE PRECISIÓN PARA CULTIVOS AGRÍCOLAS A TRAVÉS DE DRONES",20181011,20201211,"WISKUR CORP S.A.C.","SAN MARTIN DE PORRES","LIMA","LIMA",150135,54999.3000,8286.5000,15800.0000,"SOLES",20250331
"FOMITEC - PCSD","CAPITAL SEMILLA PARA EMPRENDEDORES INNOVADORES",2018,"396-INNOVATEPERU-EIN-2018","HELLO ZUM",20181206,20201206,"PROJECT ZUM SOCIEDAD ANONIMA CERRADA - PROJECT ZUM S.A.C.","SAN ISIDRO","LIMA","LIMA",150131,55000.0000,7857.0000,15714.0000,"SOLES",20250331
"FOMITEC - PCSD","CAPITAL SEMILLA PARA EMPRENDEDORES INNOVADORES",2018,"418-INNOVATEPERU-EIN-2018","WABU",20181120,20200519,"DAJAV SOLUTIONS S.A.C.","SANTIAGO DE SURCO","LIMA","LIMA",150140,55000.0000,7858.0000,15714.0000,"SOLES",20250331
"FINCYT III","MISIONES TECNOLÓGICAS",2019,"005-INNOVATEPERU-MT-2019-SI","MISIÓN TECNOLÓGICA A LA FERIA AMBIENTE DE ALEMANIA PARA GENERAR PROPUESTAS DE VALOR AL MERCADO INTERNACIONAL",20190206,20190706,"ASOCIACION DE EXPORTADORES","SAN BORJA","LIMA","LIMA",150130,10998.9700,3830.8900,2854.6900,"DOLARES",20250331
"FINCYT III","CONCURSO AYUDA A LA DEMANDA DE SERVICIOS TECNOLÓGICOS - MIPYME PRODUCTIVA - CATEGORÍA 1",2019,"031-INNOVATEPERU-ADT-2019-SI","BUENAS PRÁCTICAS DE MANUFACTURA Y OPTIMIZACIÓN DE LA CADENA DE FRIO  EN LA EMPESA COMIDAS RÁPIDAS SA PARA EL INCREMENTO DE SU COMPETITIVIDAD Y PRODUCTIVIDAD",20190903,20200703,"COMIDAS RAPIDAS S.A.","TACNA","TACNA","TACNA",230101,34800.0000,10000.0000,0.0000,"SOLES",20250331
"FINCYT III","CONCURSO AYUDA A LA DEMANDA DE SERVICIOS TECNOLÓGICOS - MIPYME PRODUCTIVA - CATEGORÍA 1",2019,"037-INNOVATEPERU-ADT-2019-SI","IMPLEMENTACIÓN DE SISTEMA INTEGRADO DE GESTIÓN PARA ESTANDARIZACIÓN Y OPTIMIZACIÓN DE PROCESOS. ",20190801,20200601,"MD LEATHER CORP S.A.C.","TRUJILLO","TRUJILLO","LA LIBERTAD",130101,34800.0000,10000.0000,0.0000,"SOLES",20250331
"FINCYT III","CONCURSO AYUDA A LA DEMANDA DE SERVICIOS TECNOLÓGICOS - MIPYME PRODUCTIVA - CATEGORÍA 1",2019,"039-INNOVATEPERU-ADT-2019-SI","TECNOLOGÍA DEL ADECUADO MANTENIMIENTO DEL ACEITE DE OLIVA SIN QUE VARÍEN SUS VALORES INICIALES",20190403,20200203,"ACAVILLE S.A.C.","MIRAFLORES","LIMA","LIMA",150122,34800.0000,10000.0000,0.0000,"SOLES",20250331
